jurisdiction,math_score,math_se,reading_score,reading_se,science_score,science_se
Australia,491.3600252,1.939833031,502.6317243,1.634343062,502.9645628,1.795398314
Austria,498.9423138,2.970998694,484.3925685,2.697472116,489.7804392,2.777394827
Belgium,508.0703063,2.262662011,492.8644387,2.321973346,498.773127,2.229239939
Canada,512.0169429,2.357475749,520.0855209,1.799716168,517.9976609,2.153651192
Chile,417.4065563,2.41588757,452.2725542,2.643766142,443.5825634,2.415280068
Colombia,390.9322732,2.989559274,412.295085,3.251343818,413.3229926,3.052401667
Czech Republic,499.4676508,2.460661531,490.2188148,2.547851006,496.7913106,2.546069386
Denmark,509.3983746,1.735002337,501.1299337,1.795457536,492.6370334,1.937603791
Estonia,523.4145802,1.743602224,523.0170184,1.842242171,530.1080046,1.884569044
Finland,507.3013618,1.967920411,520.0787482,2.307101979,521.884563,2.509515184
France,495.4075794,2.320214487,492.6064792,2.320978901,492.9770739,2.223661747
Germany,500.0437805,2.647083096,498.2792569,3.025408014,502.9889033,2.91150072
Greece,451.3703438,3.091228197,457.4143948,3.620999717,451.6327416,3.139630442
Hungary,481.0826364,2.319596741,475.9866722,2.250962098,480.9116939,2.329976509
Iceland,495.1873762,1.953082603,473.9743169,1.741510568,475.0241063,1.795502484
Ireland,499.632894,2.198621128,518.0784592,2.244477764,496.1135617,2.21414642
Israel,463.0345488,3.498563228,470.415178,3.670985346,462.1966328,3.618387768
Italy,486.5898573,2.780045867,476.2846793,2.438910278,468.0117273,2.429561817
Japan,526.9732502,2.471475318,503.856041,2.67097355,529.1354334,2.593168077
Korea,525.933002,3.121394315,514.0522882,2.940542945,519.0072549,2.802761589
Latvia,496.1263306,1.962766789,478.6986742,1.616855806,487.2505882,1.762796136
Lithuania,481.1911884,1.953282039,475.8734797,1.518276461,482.0670127,1.629236861
Luxembourg,483.421485,1.097632409,469.9853893,1.125890869,476.7694059,1.220842891
Mexico,408.8014734,2.493225544,420.4688923,2.746278731,419.2047193,2.584009387
Netherlands,519.2309824,2.632277885,484.7837251,2.65086442,503.3838194,2.84062157
New Zealand,494.489676,1.705942856,505.7272834,2.043143118,508.4907214,2.10463356
Norway,500.9637885,2.219044878,499.4509563,2.171848769,490.4131494,2.282507528
Poland,515.6478747,2.602085176,511.8556954,2.702457962,511.0355619,2.6072358
Portugal,492.4874062,2.684570081,491.8007851,2.428930746,491.6773285,2.773162575
Slovak Republic,486.1648542,2.555595707,457.983967,2.23412916,464.0475782,2.278187857
Slovenia,508.8975441,1.363877596,495.3456152,1.232299276,507.0065459,1.25041971
Spain,481.3926126,1.462417763,NA,NA,483.2520427,1.552852932
Sweden,502.3877022,2.654250935,505.7852205,3.024771562,499.4446901,3.06971096
Switzerland,515.3147131,2.908003898,483.9294052,3.124322446,495.2762879,3.004997121
Turkey,453.5077774,2.260406789,465.6316657,2.171214437,468.299618,2.013048994
United Kingdom,501.7698992,2.564428111,503.9281094,2.582591327,504.6674736,2.564414768
United States,478.2447174,3.235444099,505.3527705,3.568673216,502.3800319,3.317920041
